Area,CancerType,Year,Sex,AgeAdjustedRate,CaseCount,Population
Utah,Esophagus,2015,Male and Female,2.6,67,2990632
California,Esophagus,2015,Male and Female,3.5,1484,38993940
Hawaii,Esophagus,2015,Male and Female,3.5,64,1425157
Nevada,Esophagus,2015,Male and Female,3.6,123,2883758
Oklahoma,Esophagus,2015,Male and Female,3.9,180,3907414
South Dakota,Esophagus,2015,Male and Female,3.8,40,857919
Virginia,Esophagus,2015,Male and Female,4.1,400,8367587
Idaho,Esophagus,2015,Male and Female,4.2,81,1652828
Georgia,Esophagus,2015,Male and Female,4.2,469,10199398
District of Columbia,Esophagus,2015,Male and Female,4,26,670377
New Mexico,Esophagus,2015,Male and Female,3.9,101,2080328
North Carolina,Esophagus,2015,Male and Female,3.9,479,10035186
Texas,Esophagus,2015,Male and Female,3.9,1050,27429639
Arizona,Esophagus,2015,Male and Female,3.9,337,6817565
Louisiana,Esophagus,2015,Male and Female,4.6,252,4668960
Kansas,Esophagus,2015,Male and Female,4.3,144,2906721
Florida,Esophagus,2015,Male and Female,4.3,1273,20244914
Minnesota,Esophagus,2015,Male and Female,4.7,316,5482435
Nebraska,Esophagus,2015,Male and Female,4.6,101,1893765
New Jersey,Esophagus,2015,Male and Female,4.3,479,8935421
New York,Esophagus,2015,Male and Female,4.6,1108,19747183
North Dakota,Esophagus,2015,Male and Female,4.4,36,756835
Oregon,Esophagus,2015,Male and Female,4.4,226,4024634
Rhode Island,Esophagus,2015,Male and Female,4.6,61,1055607
South Carolina,Esophagus,2015,Male and Female,4.6,291,4894834
Tennessee,Esophagus,2015,Male and Female,4.7,387,6595056
Colorado,Esophagus,2015,Male and Female,4.4,260,5448819
Arkansas,Esophagus,2015,Male and Female,4.2,157,2977853
Alaska,Esophagus,2015,Male and Female,4.8,32,737709
Alabama,Esophagus,2015,Male and Female,4.7,292,4853875
Maine,Esophagus,2015,Male and Female,7,136,1329453
Maryland,Esophagus,2015,Male and Female,4.8,339,5994983
Kentucky,Esophagus,2015,Male and Female,4.8,268,4424611
Iowa,Esophagus,2015,Male and Female,5.6,221,3121997
Washington,Esophagus,2015,Male and Female,4.9,407,7160290
Vermont,Esophagus,2015,Male and Female,5.5,51,626088
Indiana,Esophagus,2015,Male and Female,5.3,420,6612768
Illinois,Esophagus,2015,Male and Female,5,758,12839047
Connecticut,Esophagus,2015,Male and Female,4.9,227,3584730
Delaware,Esophagus,2015,Male and Female,5.3,64,944076
West Virginia,Esophagus,2015,Male and Female,5.9,151,1841053
Wisconsin,Esophagus,2015,Male and Female,5.4,394,5767891
Wyoming,Esophagus,2015,Male and Female,4.8,32,586555
Massachusetts,Esophagus,2015,Male and Female,5.2,440,6784240
Michigan,Esophagus,2015,Male and Female,5.2,663,9917715
Mississippi,Esophagus,2015,Male and Female,4.9,177,2989390
Missouri,Esophagus,2015,Male and Female,4.8,362,6076204
Montana,Esophagus,2015,Male and Female,5.8,76,1032073
New Hampshire,Esophagus,2015,Male and Female,7.6,133,1330111
Ohio,Esophagus,2015,Male and Female,5.2,750,11605090
Pennsylvania,Esophagus,2015,Male and Female,5.2,896,12791904
